date,venue,state,race,race_id,race_name,distance,prize_money,going,track_grading,rail_position,start_time,race_class,race_shape_early,race_shape_mid,race_shape_late,has_first_starter,run_id,tab_number,barrier,horse,jockey,trainer,runs_with_wpr,wpr_nett,wpr_rank,wpr_last1,wpr_avg_last3,wpr_trend,wpr_consistency,wpr_peak_rank_1yr,wpr_dist,wpr_going,avg_settled_pos,avg_800m_pos,avg_400m_pos,early_speed_score,mid_speed_score,late_speed_score,total_speed_score,toprate_rating,toprate_price,speed_rating,fixed_win_price,jockey_win_pct_90d,trainer_win_pct_365d,jockey_rating,trainer_rating,jt_combo_win_pct,jt_combo_rides,weight_trend,wins_at_dist,starts_at_dist,places_at_dist,going_breakdown,form_string,weight_carried,starting_price_sp,price_top,finish_position,margin_finish,won,placed,resulted,pf_ai_rank,pf_ai_price,pf_ai_score,pf_class_rank,pf_tac_class_rank,pf_time_rank,pf_early_time_rank,pf_last600_rank,pf_last400_rank,pf_last200_rank,pf_run_style,pf_class_change,pf_reliable,wpr_dist_n,sect_early,speed_rank_in_race,pace_scenario,contested_pace,_settling,wprp_proj,wprp_conf,wprp_price,wprp_rank,wprp_peak,wprp_desc,wprp_proj_alt,wprp_conf_alt,rs_score,rs_label,wpr_actual,wpr_actual_rank,silk_url
2026-05-08,Pakenham,VIC,5,1359015,Stableline Sky Heights Stayers Series (Bm70),2000,40000.0,Heavy 8,8.0,True Entire Circuit,2026-05-08T08:45:00+00:00,,,,,False,14125518,3,7,Callmeanicon,Teodore Nugent,Bill Papazaharoudakis,10,75.5,7.0,77.5,69.6,11.8,9.1,1.0,84.0,,6.4,6.6,6.6,-3.54,1.08,-4.77,-2.41,95.5,18.04,55,8.0,5.2,12.0,82.7,87.5,,,-0.5,1.0,1.0,1.0,"{""good"": {""starts"": 8, ""wins"": 2, ""places"": 3}, ""heavy"": {""starts"": 1, ""wins"": 0, ""places"": 0}, ""soft"": {""starts"": 1, ""wins"": 0, ""places"": 0}}",6-4-x-x,,,,,,,,1,4.0,11.54,57.0,3.0,4.0,3.0,25.0,4.0,3.0,25.0,bm,-4.5,True,1.0,,3.0,slow,False,midfield,,,,,,,,,,,,,
2026-05-08,Pakenham,VIC,8,1359017,Do It For Dolly (Bm62),1000,40000.0,Heavy 8,8.0,True Entire Circuit,2026-05-08T10:15:00+00:00,,,,,False,14125628,5,4,Strong Box,Ryan Houston,Dominic Sutton,2,78.3,9.0,80.6,71.7,17.8,,1.0,80.6,,4.5,4.5,4.5,-2.2,-1.6,1.1,-0.5,97.79,10.17,71,6.5,4.1,9.7,86.5,88.0,,,,1.0,1.0,1.0,"{""soft"": {""starts"": 2, ""wins"": 1, ""places"": 1}}",1-5,,,,,,,,1,7.0,32.6,29.0,25.0,25.0,25.0,25.0,3.0,4.0,3.0,mf,6.6,True,1.0,,4.0,slow,False,on-pace,,,,,,,,,,,,,
2026-05-09,Toowoomba,QLD,5,1358944,Happy 21st Birthday Will Holley (Bm60),1100,22500.0,Good 4,4.0,True Entire Course.,2026-05-09T09:35:00+00:00,,,,,False,14124342,5,7,Jeans,N Tomizawa,J P Wallace,7,71.8,11.0,62.5,69.1,-9.9,6.3,1.0,68.3,69.0,3.2,3.2,3.2,-1.34,0.22,-2.54,-2.32,94.94,38.42,95,26.0,6.7,15.4,77.5,78.8,0.0,4.0,0.9,1.0,6.0,4.0,"{""good"": {""starts"": 3, ""wins"": 1, ""places"": 2}, ""heavy"": {""starts"": 1, ""wins"": 0, ""places"": 0}, ""soft"": {""starts"": 3, ""wins"": 0, ""places"": 3}}",7-5-1-3,,,,,0.7,,,1,7.0,19.17,36.0,25.0,25.0,25.0,3.0,25.0,25.0,25.0,op,0.2,True,6.0,,1.0,fast,False,on-pace,,,,,,,,,,,,,
2026-05-09,Toowoomba,QLD,7,1358939,Taylor Building Group Mdn Plate,1625,24500.0,Good 4,4.0,True Entire Course.,2026-05-09T10:42:00+00:00,,,,,False,14124239,2,4,Jaddaf,G Geran,Corey & Kylie Geran,2,72.3,1.0,72.5,72.8,-0.6,,2.0,73.1,72.5,4.5,5.5,5.5,-2.0,-0.65,-2.04,-1.69,100.0,3.14,70,3.2,16.7,11.2,79.0,82.7,18.0,111.0,,0.0,1.0,0.0,"{""good"": {""starts"": 1, ""wins"": 0, ""places"": 1}, ""soft"": {""starts"": 1, ""wins"": 0, ""places"": 0}}",2-7,,,,,,,,1,2.0,3.63,78.0,2.0,2.0,25.0,25.0,25.0,5.0,1.0,mf,0.0,True,1.0,,1.0,slow,False,on-pace,,,,,,,,,,,,,
2026-05-10,Hobart,TAS,7,1358983,Aviso Tas Pink Cup Day – May 24 (Bm64),1200,25000.0,Soft 5,5.0,+10m Entire,2026-05-10T05:40:00+00:00,,,,,False,14125084,5,4,Halen,Jabez Johnstone,G J McCulloch,8,84.0,2.0,62.2,78.4,-24.2,10.7,,77.5,70.3,5.6,5.8,5.8,-3.0,1.26,-1.57,0.31,96.59,19.79,60,12.0,14.0,8.9,86.6,76.5,14.8,27.0,-0.2,1.0,4.0,2.0,"{""good"": {""starts"": 5, ""wins"": 2, ""places"": 3}, ""soft"": {""starts"": 2, ""wins"": 0, ""places"": 1}, ""synth"": {""starts"": 1, ""wins"": 0, ""places"": 0}}",9-3-?-1,,,,,1.82,,,1,8.0,17.46,67.0,9.0,3.0,2.0,5.0,3.0,1.0,1.0,mf,0.0,True,4.0,,8.0,neutral,False,midfield,,,,,,,,,,,,,
2026-05-10,Moruya,NSW,3,1359124,Funland Ulladulla Country Boosted (Bm58),1010,30000.0,Good 4,4.0,True,2026-05-10T04:05:00+00:00,,,,,False,14127346,5,11,Noctua,Damon Budler,Natalie Jarvis,9,69.8,8.0,66.9,68.5,-2.3,2.9,4.0,71.6,69.3,2.6,2.6,2.2,0.34,1.1,-2.87,-0.81,97.38,14.79,85,10.0,18.5,9.8,78.6,78.7,37.5,8.0,-0.4,1.0,5.0,3.0,"{""soft"": {""starts"": 5, ""wins"": 1, ""places"": 2}, ""good"": {""starts"": 1, ""wins"": 0, ""places"": 1}, ""synth"": {""starts"": 3, ""wins"": 0, ""places"": 1}}",6-2-5-1,,,,,,,,1,5.0,9.55,40.0,7.0,8.0,9.0,5.0,6.0,4.0,4.0,op,-5.7,True,5.0,,4.0,fast,True,on-pace,,,,,,,,,,,,,
2026-05-10,Mudgee,NSW,1,1359136,Ladies Of Mack Griffith Racing Country Boosted Mdn Hcp,1200,30000.0,Good 4,4.0,True,2026-05-10T03:20:00+00:00,,,,,False,14127532,9,4,Kneel Down,Izzy Neale,Dennis Bush,9,63.5,9.0,61.9,63.5,-2.4,4.5,8.0,66.7,62.8,4.5,4.5,4.8,-1.55,-0.83,-1.25,-1.23,93.33,50.91,79,34.0,9.4,0.0,77.4,59.8,0.0,4.0,0.1,0.0,5.0,3.0,"{""soft"": {""starts"": 6, ""wins"": 0, ""places"": 2}, ""good"": {""starts"": 1, ""wins"": 0, ""places"": 1}, ""firm"": {""starts"": 1, ""wins"": 0, ""places"": 0}}",4-7-3-3,,,,,,,,1,2.0,5.63,91.0,2.0,2.0,1.0,5.0,25.0,1.0,1.0,bm,0.0,True,5.0,,3.0,slow,False,on-pace,,,,,,,,,,,,,
2026-05-10,Sunshine Coast,QLD,1,1359137,Happy Mother's Day Mdn Plate,1000,30000.0,Soft 5,5.0,+4 metres Entire Course.,2026-05-10T02:30:00+00:00,,,,,True,14127543,5,5,Summer Vibe,Jag Guthmann-Chester,Matthew Hoysted,0,,,,,,,,,,,,,,,,,96.6,10.61,0,7.5,16.0,15.4,87.0,88.0,26.9,52.0,,0.0,0.0,0.0,{},,,,,,,,,1,11.0,65.81,57.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,no data,0.0,False,0.0,,10.0,fast,False,backmarker,,,,,,,,,,,,,
2026-05-13,Ipswich,QLD,5,1359436,Great Northern (Bm70),1350,38000.0,Good 4,4.0,+4m Entire,2026-05-13T04:53:00+00:00,,,,,False,14135224,4,6,Super Duck,B Andrew,M F Hemmings,12,77.9,12.0,82.0,78.0,6.0,3.8,1.0,76.5,78.1,5.5,6.2,5.8,-3.57,-0.98,-1.09,-1.72,92.93,89.0,59,41.0,0.0,6.1,70.0,73.2,0.0,1.0,6.2,2.0,7.0,2.0,"{""firm"": {""starts"": 1, ""wins"": 0, ""places"": 1}, ""soft"": {""starts"": 5, ""wins"": 0, ""places"": 1}, ""good"": {""starts"": 4, ""wins"": 0, ""places"": 0}, ""heavy"": {""starts"": 2, ""wins"": 2, ""places"": 2}}",3-5-7-x,,,,,-0.94,,,1,3.0,9.41,82.0,2.0,1.0,2.0,25.0,9.0,11.0,25.0,op/mf,4.6,True,7.0,,7.0,neutral,False,midfield,,,,,,,,,,,,,
2026-05-13,Ipswich,QLD,5,1359436,Great Northern (Bm70),1350,38000.0,Good 4,4.0,+4m Entire,2026-05-13T04:53:00+00:00,,,,,False,14135238,6,5,Savaii,Ben Thompson,Annabel & Rob Archibald,7,80.2,10.0,79.1,78.6,0.8,7.5,1.0,80.3,81.1,2.4,2.4,2.6,0.66,-0.44,-2.8,-1.02,96.06,18.65,80,8.5,17.8,14.5,91.1,91.4,22.2,36.0,0.4,3.0,5.0,4.0,"{""soft"": {""starts"": 4, ""wins"": 1, ""places"": 2}, ""good"": {""starts"": 3, ""wins"": 3, ""places"": 3}}",2-1-4-5,,,,,-0.79,,,1,8.0,14.21,35.0,13.0,12.0,11.0,25.0,3.0,3.0,2.0,op,15.6,True,5.0,,3.0,neutral,False,leader,,,,,,,,,,,,,
